date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:39	428139/428139	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:37%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=219	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexaf71.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:40	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:37%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=217	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexede1.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:44	428150/428150	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:43%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=220	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index9191.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:46	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:43%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=230	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexb90e.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:48	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:45%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=228	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index9821.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:48	428150/428150	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:45%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=225	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/index9a29.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:53	428147/428147	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:50%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=227	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexe953.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:55	428151/428151	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:52%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=235	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexe543.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:56	428151/428151	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:54%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=249	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexe6fc.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
20:09:56	428146/428146	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202019%2003:09:54%20GMT	http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/?replytocom=244	K:/scullom_hobby/scullcom_hobby/www.scullcom.uk/design-build-an-electronic-dc-load-part-1/indexe972.html	(from http://www.scullcom.uk/design-build-an-electronic-dc-load-part-1/)
